Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MySuite,Chrome 70.0.3538.67,,2018-10-23 21:53:29,2018-10-23 21:55:51,2m - 21.801s,FAILED
,,,,,,
Test Cases/TestCases/35722,Chrome 70.0.3538.67,,2018-10-23 21:53:29,2018-10-23 21:55:51,2m - 21.432s,FAILED
waitForJQueryLoad,Chrome 70.0.3538.67,,2018-10-23 21:53:30,2018-10-23 21:53:31,1.529s,PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-23 21:53:31,2018-10-23 21:53:33,2.159s,PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-23 21:53:33,2018-10-23 21:54:28,54.771s,PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-23 21:54:28,2018-10-23 21:55:08,39.769s,PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-23 21:55:08,2018-10-23 21:55:51,42.856s,FAILED
