Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MySuite,Chrome 69.0.3497.100,,2018-10-21 19:40:15,2018-10-21 19:44:28,4m - 13.473s,FAILED
,,,,,,
Test Cases/PageObjects/Common/OpenAppURL,Chrome 69.0.3497.100,to open any url in a given browser,2018-10-21 19:40:15,2018-10-21 19:40:24,8.873s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 19:40:16,2018-10-21 19:40:20,4.028s,PASSED
common.RobotX.RoboKeyPressSpecial,Chrome 69.0.3497.100,,2018-10-21 19:40:20,2018-10-21 19:40:20,0.226s,PASSED
common.RobotX.RoboKeyPress,Chrome 69.0.3497.100,,2018-10-21 19:40:20,2018-10-21 19:40:24,4.004s,PASSED
common.RobotX.RoboKeyPressSpecial,Chrome 69.0.3497.100,,2018-10-21 19:40:24,2018-10-21 19:40:24,0.102s,PASSED
,,,,,,
Test Cases/TestCases/Login,Chrome 69.0.3497.100,,2018-10-21 19:40:24,2018-10-21 19:41:20,55.434s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-21 19:40:24,2018-10-21 19:41:20,55.071s,PASSED
,,,,,,
Test Cases/TestCases/35722,Chrome 69.0.3497.100,,2018-10-21 19:41:20,2018-10-21 19:43:54,2m - 34.754s,FAILED
callTestCase,Chrome 69.0.3497.100,,2018-10-21 19:41:20,2018-10-21 19:43:54,2m - 34.272s,FAILED
,,,,,,
Test Cases/TestCases/Smoke_Test_1,Chrome 69.0.3497.100,,2018-10-21 19:43:54,2018-10-21 19:44:28,33.835s,FAILED
callTestCase,Chrome 69.0.3497.100,,2018-10-21 19:43:55,2018-10-21 19:44:28,33.610s,FAILED
