Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MySuite,Chrome 69.0.3497.100,,2018-10-17 13:02:31,2018-10-17 13:04:35,2m - 3.674s,FAILED
,,,,,,
Test Cases/PageObjects/Common/OpenAppURL,Chrome 69.0.3497.100,to open any url in a given browser,2018-10-17 13:02:31,2018-10-17 13:02:44,12.984s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-17 13:02:32,2018-10-17 13:02:36,3.923s,PASSED
common.RobotX.RoboKeyPressSpecial,Chrome 69.0.3497.100,,2018-10-17 13:02:36,2018-10-17 13:02:36,0.312s,PASSED
common.RobotX.RoboKeyPress,Chrome 69.0.3497.100,,2018-10-17 13:02:36,2018-10-17 13:02:44,8.056s,PASSED
common.RobotX.RoboKeyPressSpecial,Chrome 69.0.3497.100,,2018-10-17 13:02:44,2018-10-17 13:02:44,0.202s,PASSED
,,,,,,
Test Cases/TestCases/Login,Chrome 69.0.3497.100,,2018-10-17 13:02:44,2018-10-17 13:03:01,17.051s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-17 13:02:45,2018-10-17 13:03:01,16.700s,PASSED
,,,,,,
Test Cases/TestCases/Smoke_Test_1,Chrome 69.0.3497.100,,2018-10-17 13:03:01,2018-10-17 13:04:34,1m - 32.381s,FAILED
callTestCase,Chrome 69.0.3497.100,,2018-10-17 13:03:02,2018-10-17 13:04:34,1m - 32.043s,FAILED
