Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MySuite,Chrome 69.0.3497.100,,2018-10-22 00:05:53,2018-10-22 00:13:02,7m - 9.525s,FAILED
,,,,,,
Test Cases/PageObjects/Common/OpenAppURL,Chrome 69.0.3497.100,to open any url in a given browser,2018-10-22 00:05:53,2018-10-22 00:06:02,8.761s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-22 00:05:54,2018-10-22 00:05:58,3.716s,PASSED
common.RobotX.RoboKeyPressSpecial,Chrome 69.0.3497.100,,2018-10-22 00:05:58,2018-10-22 00:05:58,0.287s,PASSED
common.RobotX.RoboKeyPress,Chrome 69.0.3497.100,,2018-10-22 00:05:58,2018-10-22 00:06:02,4.162s,PASSED
common.RobotX.RoboKeyPressSpecial,Chrome 69.0.3497.100,,2018-10-22 00:06:02,2018-10-22 00:06:02,0.110s,PASSED
,,,,,,
Test Cases/TestCases/Login,Chrome 69.0.3497.100,,2018-10-22 00:06:02,2018-10-22 00:07:28,1m - 25.473s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-22 00:06:03,2018-10-22 00:07:28,1m - 25.056s,PASSED
,,,,,,
Test Cases/TestCases/Dashboard,Chrome 69.0.3497.100,,2018-10-22 00:07:28,2018-10-22 00:09:34,2m - 6.439s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-22 00:07:28,2018-10-22 00:09:34,2m - 6.056s,PASSED
,,,,,,
Test Cases/TestCases/35722,Chrome 69.0.3497.100,,2018-10-22 00:09:34,2018-10-22 00:13:02,3m - 28.382s,FAILED
waitForJQueryLoad,Chrome 69.0.3497.100,,2018-10-22 00:09:35,2018-10-22 00:09:35,0.121s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-22 00:09:35,2018-10-22 00:09:36,1.423s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-22 00:09:36,2018-10-22 00:13:02,3m - 26.445s,FAILED
