Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MySuite,Chrome 69.0.3497.100,,2018-10-17 12:45:52,2018-10-17 12:46:46,53.474s,ERROR
,,,,,,
Test Cases/PageObjects/Common/OpenAppURL,Chrome 69.0.3497.100,to open any url in a given browser,2018-10-17 12:45:53,2018-10-17 12:46:18,25.541s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-17 12:45:53,2018-10-17 12:45:57,3.861s,PASSED
common.RobotX.RoboKeyPressSpecial,Chrome 69.0.3497.100,,2018-10-17 12:45:57,2018-10-17 12:45:57,0.569s,PASSED
common.RobotX.RoboKeyPress,Chrome 69.0.3497.100,,2018-10-17 12:45:57,2018-10-17 12:46:18,20.192s,PASSED
common.RobotX.RoboKeyPressSpecial,Chrome 69.0.3497.100,,2018-10-17 12:46:18,2018-10-17 12:46:18,0.512s,PASSED
,,,,,,
Test Cases/TestCases/Login,Chrome 69.0.3497.100,,2018-10-17 12:46:18,2018-10-17 12:46:44,26.100s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-17 12:46:18,2018-10-17 12:46:44,25.805s,PASSED
,,,,,,
Test Cases/PageObjects/Dashboard/Dashboard_Header,Chrome 69.0.3497.100,,2018-10-17 12:46:44,2018-10-17 12:46:45,0.562s,ERROR
Statement - td = com.kms.katalon.core.testdata.TestDataFactory.findTestData(TestData/Dashboard),Chrome 69.0.3497.100,,2018-10-17 12:46:45,2018-10-17 12:46:45,0.131s,PASSED
"Statement - Iterator = CustomKeywords.framework.Framework.GetTestDataMap(td, DID.toString())",Chrome 69.0.3497.100,,2018-10-17 12:46:45,2018-10-17 12:46:45,0.003s,PASSED
