Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MySuite,Chrome 70.0.3538.67,,2018-10-23 22:24:34,2018-10-23 22:27:39,3m - 5.258s,FAILED
,,,,,,
Test Cases/PageObjects/Common/OpenAppURL,Chrome 70.0.3538.67,to open any url in a given browser,2018-10-23 22:24:35,2018-10-23 22:24:43,8.545s,PASSED
openBrowser,Chrome 70.0.3538.67,,2018-10-23 22:24:35,2018-10-23 22:24:39,3.726s,PASSED
common.RobotX.RoboKeyPressSpecial,Chrome 70.0.3538.67,,2018-10-23 22:24:39,2018-10-23 22:24:39,0.153s,PASSED
common.RobotX.RoboKeyPress,Chrome 70.0.3538.67,,2018-10-23 22:24:39,2018-10-23 22:24:43,4.128s,PASSED
common.RobotX.RoboKeyPressSpecial,Chrome 70.0.3538.67,,2018-10-23 22:24:43,2018-10-23 22:24:43,0.108s,PASSED
,,,,,,
Test Cases/TestCases/Login,Chrome 70.0.3538.67,,2018-10-23 22:24:43,2018-10-23 22:25:48,1m - 4.644s,PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-23 22:24:44,2018-10-23 22:25:48,1m - 4.342s,PASSED
,,,,,,
Test Cases/TestCases/Dashboard,Chrome 70.0.3538.67,,2018-10-23 22:25:48,2018-10-23 22:26:54,1m - 6.206s,PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-23 22:25:48,2018-10-23 22:26:54,1m - 5.753s,PASSED
,,,,,,
Test Cases/TestCases/35722,Chrome 70.0.3538.67,,2018-10-23 22:26:54,2018-10-23 22:27:39,45.219s,FAILED
waitForJQueryLoad,Chrome 70.0.3538.67,,2018-10-23 22:26:55,2018-10-23 22:26:55,0.125s,PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-23 22:26:55,2018-10-23 22:26:56,1.360s,PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-23 22:26:56,2018-10-23 22:27:39,43.320s,FAILED
