Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MySuite,Chrome 69.0.3497.100,,2018-10-21 19:54:35,2018-10-21 19:56:40,2m - 5.382s,FAILED
,,,,,,
Test Cases/PageObjects/Common/OpenAppURL,Chrome 69.0.3497.100,to open any url in a given browser,2018-10-21 19:54:35,2018-10-21 19:54:44,9.017s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 19:54:36,2018-10-21 19:54:40,4.116s,PASSED
common.RobotX.RoboKeyPressSpecial,Chrome 69.0.3497.100,,2018-10-21 19:54:40,2018-10-21 19:54:40,0.146s,PASSED
common.RobotX.RoboKeyPress,Chrome 69.0.3497.100,,2018-10-21 19:54:40,2018-10-21 19:54:44,4.087s,PASSED
common.RobotX.RoboKeyPressSpecial,Chrome 69.0.3497.100,,2018-10-21 19:54:44,2018-10-21 19:54:44,0.102s,PASSED
,,,,,,
Test Cases/TestCases/Login,Chrome 69.0.3497.100,,2018-10-21 19:54:44,2018-10-21 19:55:50,1m - 5.120s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-21 19:54:45,2018-10-21 19:55:50,1m - 4.828s,PASSED
,,,,,,
Test Cases/TestCases/35722,Chrome 69.0.3497.100,,2018-10-21 19:55:50,2018-10-21 19:55:58,8.923s,FAILED
callTestCase,Chrome 69.0.3497.100,,2018-10-21 19:55:50,2018-10-21 19:55:58,8.615s,FAILED
,,,,,,
Test Cases/TestCases/Smoke_Test_1,Chrome 69.0.3497.100,,2018-10-21 19:55:58,2018-10-21 19:56:40,41.821s,FAILED
callTestCase,Chrome 69.0.3497.100,,2018-10-21 19:55:59,2018-10-21 19:56:40,41.594s,FAILED
