Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MySuite,Chrome 69.0.3497.100,,2018-10-21 23:21:09,2018-10-21 23:27:49,6m - 39.948s,FAILED
,,,,,,
Test Cases/PageObjects/Common/OpenAppURL,Chrome 69.0.3497.100,to open any url in a given browser,2018-10-21 23:21:09,2018-10-21 23:21:18,8.935s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 23:21:10,2018-10-21 23:21:14,3.961s,PASSED
common.RobotX.RoboKeyPressSpecial,Chrome 69.0.3497.100,,2018-10-21 23:21:14,2018-10-21 23:21:14,0.231s,PASSED
common.RobotX.RoboKeyPress,Chrome 69.0.3497.100,,2018-10-21 23:21:14,2018-10-21 23:21:18,4.168s,PASSED
common.RobotX.RoboKeyPressSpecial,Chrome 69.0.3497.100,,2018-10-21 23:21:18,2018-10-21 23:21:18,0.105s,PASSED
,,,,,,
Test Cases/TestCases/Login,Chrome 69.0.3497.100,,2018-10-21 23:21:18,2018-10-21 23:22:44,1m - 25.677s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-21 23:21:19,2018-10-21 23:22:44,1m - 25.263s,PASSED
,,,,,,
Test Cases/TestCases/35722,Chrome 69.0.3497.100,,2018-10-21 23:22:44,2018-10-21 23:26:12,3m - 28.198s,FAILED
callTestCase,Chrome 69.0.3497.100,,2018-10-21 23:22:45,2018-10-21 23:22:46,1.621s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-21 23:22:46,2018-10-21 23:26:12,3m - 26.103s,FAILED
,,,,,,
Test Cases/TestCases/Dashboard,Chrome 69.0.3497.100,,2018-10-21 23:26:12,2018-10-21 23:27:49,1m - 36.613s,FAILED
callTestCase,Chrome 69.0.3497.100,,2018-10-21 23:26:13,2018-10-21 23:27:49,1m - 36.202s,FAILED
