Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MySuite,Chrome 70.0.3538.67,,2018-10-23 19:33:18,2018-10-23 19:33:49,30.376s,ERROR
,,,,,,
Test Cases/TestCases/35722,Chrome 70.0.3538.67,,2018-10-23 19:33:19,2018-10-23 19:33:49,29.966s,ERROR
waitForJQueryLoad,Chrome 70.0.3538.67,,2018-10-23 19:33:19,2018-10-23 19:33:21,1.598s,PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-23 19:33:21,2018-10-23 19:33:21,0.002s,NOT_RUN
callTestCase,Chrome 70.0.3538.67,,2018-10-23 19:33:21,2018-10-23 19:33:21,0.002s,NOT_RUN
callTestCase,Chrome 70.0.3538.67,,2018-10-23 19:33:21,2018-10-23 19:33:21,0.002s,NOT_RUN
callTestCase,Chrome 70.0.3538.67,,2018-10-23 19:33:21,2018-10-23 19:33:49,27.951s,FAILED
