Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MySuite,Chrome 69.0.3497.100,,2018-10-17 15:14:32,2018-10-17 15:15:59,1m - 27.088s,ERROR
,,,,,,
Test Cases/TestCases/Compass_Application_Login,Chrome 69.0.3497.100,,2018-10-17 15:14:32,2018-10-17 15:14:40,8.406s,ERROR
callTestCase,Chrome 69.0.3497.100,,2018-10-17 15:14:32,2018-10-17 15:14:40,7.978s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-17 15:14:40,2018-10-17 15:14:40,0.011s,PASSED
,,,,,,
Test Cases/TestCases/Login,Chrome 69.0.3497.100,,2018-10-17 15:14:40,2018-10-17 15:15:35,54.380s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-17 15:14:41,2018-10-17 15:15:35,54.069s,PASSED
,,,,,,
Test Cases/TestCases/Smoke_Test_1,Chrome 69.0.3497.100,,2018-10-17 15:15:35,2018-10-17 15:15:57,22.070s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-17 15:15:35,2018-10-17 15:15:57,21.865s,PASSED
,,,,,,
Test Cases/TestCases/Hamburgbutton,Chrome 69.0.3497.100,click hamburg button,2018-10-17 15:15:57,2018-10-17 15:15:57,0.520s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-17 15:15:57,2018-10-17 15:15:57,0.293s,PASSED
,,,,,,
Test Cases/TestCases/Accountplaner_click,Chrome 69.0.3497.100,click accountplanerbutton,2018-10-17 15:15:57,2018-10-17 15:15:59,1.305s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-17 15:15:58,2018-10-17 15:15:59,1.027s,PASSED
