Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MySuite,Chrome 69.0.3497.100,,2018-10-17 14:40:53,2018-10-17 14:43:21,2m - 27.837s,ERROR
,,,,,,
Test Cases/TestCases/Compass_Application_Login,Chrome 69.0.3497.100,,2018-10-17 14:40:53,2018-10-17 14:41:02,8.810s,ERROR
callTestCase,Chrome 69.0.3497.100,,2018-10-17 14:40:54,2018-10-17 14:41:02,8.330s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-17 14:41:02,2018-10-17 14:41:02,0.009s,PASSED
,,,,,,
Test Cases/TestCases/Smoke_Test_1,Chrome 69.0.3497.100,,2018-10-17 14:41:02,2018-10-17 14:43:20,2m - 18.153s,FAILED
callTestCase,Chrome 69.0.3497.100,,2018-10-17 14:41:02,2018-10-17 14:43:20,2m - 17.803s,FAILED
,,,,,,
Test Cases/TestCases/Hamburgbutton,Chrome 69.0.3497.100,click hamburg button,2018-10-17 14:43:20,2018-10-17 14:43:21,0.470s,FAILED
callTestCase,Chrome 69.0.3497.100,,2018-10-17 14:43:21,2018-10-17 14:43:21,0.261s,FAILED
