Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MySuite,Chrome 69.0.3497.100,,2018-10-21 20:30:25,2018-10-21 20:32:41,2m - 16.582s,FAILED
,,,,,,
Test Cases/PageObjects/Common/OpenAppURL,Chrome 69.0.3497.100,to open any url in a given browser,2018-10-21 20:30:25,2018-10-21 20:30:34,8.744s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 20:30:25,2018-10-21 20:30:29,3.906s,PASSED
common.RobotX.RoboKeyPressSpecial,Chrome 69.0.3497.100,,2018-10-21 20:30:29,2018-10-21 20:30:30,0.180s,PASSED
common.RobotX.RoboKeyPress,Chrome 69.0.3497.100,,2018-10-21 20:30:30,2018-10-21 20:30:34,4.041s,PASSED
common.RobotX.RoboKeyPressSpecial,Chrome 69.0.3497.100,,2018-10-21 20:30:34,2018-10-21 20:30:34,0.103s,PASSED
,,,,,,
Test Cases/TestCases/Login,Chrome 69.0.3497.100,,2018-10-21 20:30:34,2018-10-21 20:31:58,1m - 24.671s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-21 20:30:34,2018-10-21 20:31:58,1m - 24.366s,PASSED
,,,,,,
Test Cases/TestCases/35722,Chrome 69.0.3497.100,,2018-10-21 20:31:58,2018-10-21 20:32:06,7.824s,FAILED
callTestCase,Chrome 69.0.3497.100,,2018-10-21 20:31:59,2018-10-21 20:32:06,7.410s,FAILED
,,,,,,
Test Cases/TestCases/Dashboard,Chrome 69.0.3497.100,,2018-10-21 20:32:06,2018-10-21 20:32:41,34.879s,FAILED
callTestCase,Chrome 69.0.3497.100,,2018-10-21 20:32:07,2018-10-21 20:32:41,34.431s,FAILED
