Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MySuite,Chrome 70.0.3538.67,,2018-10-23 19:09:06,2018-10-23 19:12:40,3m - 34.606s,FAILED
,,,,,,
Test Cases/PageObjects/Common/OpenAppURL,Chrome 70.0.3538.67,to open any url in a given browser,2018-10-23 19:09:07,2018-10-23 19:09:15,8.471s,PASSED
openBrowser,Chrome 70.0.3538.67,,2018-10-23 19:09:07,2018-10-23 19:09:11,3.635s,PASSED
common.RobotX.RoboKeyPressSpecial,Chrome 70.0.3538.67,,2018-10-23 19:09:11,2018-10-23 19:09:11,0.180s,PASSED
common.RobotX.RoboKeyPress,Chrome 70.0.3538.67,,2018-10-23 19:09:11,2018-10-23 19:09:15,4.075s,PASSED
common.RobotX.RoboKeyPressSpecial,Chrome 70.0.3538.67,,2018-10-23 19:09:15,2018-10-23 19:09:15,0.109s,PASSED
,,,,,,
Test Cases/TestCases/Login,Chrome 70.0.3538.67,,2018-10-23 19:09:15,2018-10-23 19:10:39,1m - 24.112s,PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-23 19:09:15,2018-10-23 19:10:39,1m - 23.832s,PASSED
,,,,,,
Test Cases/TestCases/Dashboard,Chrome 70.0.3538.67,,2018-10-23 19:10:39,2018-10-23 19:11:44,1m - 5.280s,PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-23 19:10:39,2018-10-23 19:11:44,1m - 5.064s,PASSED
,,,,,,
Test Cases/TestCases/35722,Chrome 70.0.3538.67,,2018-10-23 19:11:44,2018-10-23 19:12:40,55.962s,FAILED
waitForJQueryLoad,Chrome 70.0.3538.67,,2018-10-23 19:11:45,2018-10-23 19:11:45,0.102s,PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-23 19:11:45,2018-10-23 19:11:46,0.985s,PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-23 19:11:46,2018-10-23 19:12:24,37.801s,PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-23 19:12:24,2018-10-23 19:12:40,16.902s,FAILED
