Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MySuite,Chrome 69.0.3497.100,,2018-10-17 15:51:41,2018-10-17 15:51:47,5.710s,ERROR
,,,,,,
Test Cases/TestCases/Hamburgbutton,Chrome 69.0.3497.100,click hamburg button,2018-10-17 15:51:42,2018-10-17 15:51:45,3.808s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-17 15:51:42,2018-10-17 15:51:45,3.455s,PASSED
,,,,,,
Test Cases/TestCases/Accountplaner_click,Chrome 69.0.3497.100,click accountplanerbutton,2018-10-17 15:51:45,2018-10-17 15:51:46,0.830s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-17 15:51:46,2018-10-17 15:51:46,0.456s,PASSED
,,,,,,
Test Cases/TestCases/Accountplaner_DBB,Chrome 69.0.3497.100,,2018-10-17 15:51:46,2018-10-17 15:51:47,0.652s,ERROR
callTestCase,Chrome 69.0.3497.100,,2018-10-17 15:51:47,2018-10-17 15:51:47,0.265s,FAILED
