Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MySuite,Chrome 70.0.3538.67,,2018-10-23 20:04:19,2018-10-23 20:05:35,1m - 16.564s,PASSED
,,,,,,
Test Cases/TestCases/35722,Chrome 70.0.3538.67,,2018-10-23 20:04:19,2018-10-23 20:05:35,1m - 16.161s,PASSED
waitForJQueryLoad,Chrome 70.0.3538.67,,2018-10-23 20:04:19,2018-10-23 20:04:21,1.388s,PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-23 20:04:21,2018-10-23 20:04:21,0.000s,NOT_RUN
callTestCase,Chrome 70.0.3538.67,,2018-10-23 20:04:21,2018-10-23 20:04:21,0.000s,NOT_RUN
callTestCase,Chrome 70.0.3538.67,,2018-10-23 20:04:21,2018-10-23 20:04:21,0.000s,NOT_RUN
callTestCase,Chrome 70.0.3538.67,,2018-10-23 20:04:21,2018-10-23 20:05:35,1m - 14.334s,PASSED
