Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MySuite,Chrome 69.0.3497.100,,2018-10-17 16:31:43,2018-10-17 16:31:47,4.222s,ERROR
,,,,,,
Test Cases/TestCases/Hamburgbutton,Chrome 69.0.3497.100,click hamburg button,2018-10-17 16:31:43,2018-10-17 16:31:45,2.140s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-17 16:31:44,2018-10-17 16:31:45,1.746s,PASSED
,,,,,,
Test Cases/TestCases/Accountplaner_click,Chrome 69.0.3497.100,click accountplanerbutton,2018-10-17 16:31:45,2018-10-17 16:31:46,0.908s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-17 16:31:46,2018-10-17 16:31:46,0.554s,PASSED
,,,,,,
Test Cases/TestCases/Accountplaner_DBB,Chrome 69.0.3497.100,,2018-10-17 16:31:46,2018-10-17 16:31:47,0.765s,ERROR
callTestCase,Chrome 69.0.3497.100,,2018-10-17 16:31:47,2018-10-17 16:31:47,0.384s,FAILED
